1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
1111,2222,1000
1112,2222,1000
2222,3333,1000
2222,3334,1000
